"ID","Name","Flags","Time of dayTime of day","Day of the WeekDay of the Week","Size / CapacitySize / Capacity","Age Restrictions","Age Group","Wait","Start Date","Season","Level","Time of Year"
"6677","[GAME-ON] Tuesday 4:55pm - 5:55pm (1st - 3rd)","Future","04:55pm","T","12            of 22","7y 0m - 13y 0m","U-9","0","Tue 09/03/2024","24-FA Basketball Classes (PreK - 5th)","Game-On Gameplay","Fall"
"6678","[GAME-ON] Wednesday 4:55pm-5:55pm (3rd - 5th)","Future","04:55pm","W","13            of 22","7y 0m - 13y 0m","U-11","0","Wed 09/04/2024","24-FA Basketball Classes (PreK - 5th)","Game-On Gameplay","Fall"
"6744","[HIP HOP] Friday 5:10-6:05pm (3rd/4th)","Future","05:10pm","F","0            of 10","3y 0m - 13y 0m","Youth","0","Fri 09/13/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6652","[HIP HOP] Monday 3:00pm-3:55pm (Ages 3-5)","Future","03:00pm","M","0            of 12","3y 0m - 12y 0m","Youth","0","Mon 09/16/2024","24-FA Cheer & Dance (Ages 1+)","Hip Hop                           | Player","Fall"
"6696","[HIP HOP] Monday 5:40pm-6:35pm (5th/6th)","Future","05:40pm","M","0            of 12","3y 0m - 12y 0m","Youth","0","Mon 09/16/2024","24-FA Cheer & Dance (Ages 1+)","Hip Hop                           | Player","Fall"
"6726","[HIP HOP] Thurs 5:35pm-6:30pm (5th/6th)","Future","05:10pm","Th","0            of 12","3y 0m - 12y 0m","Youth","0","Thu 09/19/2024","24-FA Cheer & Dance (Ages 1+)","Hip Hop                           | Player","Fall"
"6846","[J&E] Music+Move | Thurs 12-1:15pm (Ages 3m-24m)","Future","12:00pm","Th","0            of 12","0y 2m - 3y 6m","U-3","0","Thu 09/19/2024","24-FA Juliette & Ella's Playdate (Ages 3m-36m)","Music and Movement (Ages 3m-36m)","Fall"
"6845","[J&E] Music+Move | Thurs 9a-10:15am (Ages 12m-36m)","Future","09:00am","Th","2            of 12","0y 2m - 3y 6m","U-3","0","Thu 09/05/2024","24-FA Juliette & Ella's Playdate (Ages 3m-36m)","Music and Movement (Ages 3m-36m)","Fall"
"6844","[J&E] Music+Move | Weds 12:00-1:15pm (Ages 3m-24m)","Future","12:00pm","W","1            of 12","0y 2m - 3y 6m","U-3","0","Wed 09/18/2024","24-FA Juliette & Ella's Playdate (Ages 3m-36m)","Music and Movement (Ages 3m-36m)","Fall"
"6719","[JR CHEER CHAMPS] Friday 3:30pm-4:25pm (1st/2nd)","Future","03:30pm","F","3            of 12","3y 0m - 13y 0m","Youth","0","Fri 09/13/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6662","[JR CHEER CHAMPS] Mon 4:05-5:00pm (1st/2nd)","Future","04:05pm","M","6            of 12","3y 0m - 13y 0m","Youth","0","Mon 09/16/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6686","[JR CHEER CHAMPS] Mon 4:35-5:30pm (3rd/4th)","Future","04:35pm","M","3            of 12","3y 0m - 13y 0m","Youth","0","Mon 09/16/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6717","[JR CHEER CHAMPS] Thurs 4:35-5:30pm (1st/2nd)","Future","04:05pm","Th","1            of 12","3y 0m - 13y 0m","Youth","0","Thu 09/19/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6697","[JR CHEER CHAMPS] Tues 3:30-4:25pm (3rd/4th)","Future","03:30pm","T","1            of 12","3y 0m - 13y 0m","Youth","0","Tue 09/17/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6699","[JR CHEER CHAMPS] Tues 4:35-5:30pm (1st/2nd)","Future","04:35pm","T","0            of 12","3y 0m - 13y 0m","Youth","0","Tue 09/17/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6713","[JR CHEER CHAMPS] Wed 3:25-4:30pm (Ages 3-5)","Future","03:25pm","W","5            of 12","2y 9m - 6y 6m","Youth","0","Wed 09/18/2024","24-FA Cheer & Dance (Ages 1+)","Cheer & Pom Fusion (Age 3-6)","Fall"
"6712","[JR CHEER CHAMPS] Wed 4:35-5:30pm (1st/2nd)","Future","04:35pm","W","3            of 12","3y 0m - 13y 0m","Youth","0","Wed 09/18/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6666","[LEVEL-UP] Friday 4:55pm - 5:55pm (1st - 3rd)","Future","04:55pm","F","10            of 22","5y 0m - 13y 0m","U-9","0","Fri 09/06/2024","24-FA Basketball Classes (PreK - 5th)","Level Up Instruction","Fall"
"6667","[LEVEL-UP] Monday 4:55pm - 5:55pm (K - 2nd)","Future","04:55pm","M","8            of 22","5y 0m - 13y 0m","U-8","0","Mon 09/09/2024","24-FA Basketball Classes (PreK - 5th)","Level Up Instruction","Fall"
"6668","[LEVEL-UP] Thursday 3:50pm - 4:50pm (K - 2nd)","Full Future","03:50pm","Th","22            of 22","5y 0m - 13y 0m","U-8","12","Thu 09/05/2024","24-FA Basketball Classes (PreK - 5th)","Level Up Instruction","Fall"
"6669","[LEVEL-UP] Wednesday 3:50pm - 4:50pm (K - 2nd)","Full Future","03:50pm","W","22            of 22","5y 0m - 13y 0m","U-8","9","Wed 09/04/2024","24-FA Basketball Classes (PreK - 5th)","Level Up Instruction","Fall"
"6720","[POM DANCE] Friday 3:00pm-3:55pm (1st/2nd)","Future","03:00pm","F","0            of 12","5y 0m - 10y 0m","Youth","0","Fri 09/13/2024","24-FA Cheer & Dance (Ages 1+)","Pom Dance (1st-4th)","Fall"
"6661","[POM DANCE] Monday 3:30pm-4:25pm (K-1st)","Future","03:30pm","M","1            of 12","5y 0m - 10y 0m","Youth","0","Mon 09/16/2024","24-FA Cheer & Dance (Ages 1+)","Pom Dance (1st-4th)","Fall"
"6722","[POM DANCE] Tues 5:35-6:30pm (3rd/4th)","Future","05:35pm","T","2            of 12","5y 0m - 10y 0m","Youth","0","Tue 09/17/2024","24-FA Cheer & Dance (Ages 1+)","Pom Dance (1st-4th)","Fall"
"6716","[TUMBLE FOR CHEER] Thurs 5:40-6:35pm (5th/6th)","Future","05:30pm","Th","0            of 12","3y 0m - 13y 0m","Youth","0","Thu 09/19/2024","24-FA Cheer & Dance (Ages 1+)","Cheer Champs (1st-6th)","Fall"
"6724","[TUMBLE FOR CHEER] Wed 5:35pm-6:30pm (1st-3rd)","Future","05:10pm","W","1            of 12","6y 0m - 13y 0m","Youth","0","Wed 09/18/2024","24-FA Cheer & Dance (Ages 1+)","Tumble 4 Cheer (1st-6th)","Fall"
"6707","[FFB-GIRLS] Friday 3:45pm - 5:00pm (3rd-5th)","Future","03:45pm","F","0            of 16","5y 0m - 14y 0m","U-11","0","Fri 09/06/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6709","[FFB-GIRLS] Saturday 10:45am-12:00pm (4th/5th)","Future","10:45am","Sa","0            of 24","5y 0m - 14y 0m","U-11","0","Sat 09/07/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6708","[FFB-GIRLS] Saturday 9:30am-10:45am (2nd/3rd)","Future","09:30am","Sa","0            of 24","5y 0m - 14y 0m","U-9","0","Sat 09/07/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6700","[FFB-QB Class] Monday 3:45pm-5:00pm (3rd-6th)","Future","03:45pm","M","4            of 16","5y 0m - 14y 0m","U-11","0","Mon 09/09/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6701","[FFB] Saturday 2:00pm-3:15pm (Ages 4-6)","Future","02:00pm","Sa","5            of 24","5y 0m - 14y 0m","U-6","0","Sat 09/07/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6702","[FFB] Saturday 3:15pm-4:30pm (2nd/3rd)","Future","03:15pm","Sa","6            of 24","5y 0m - 14y 0m","U-9","0","Sat 09/07/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6704","[FFB] Thursday 3:45pm - 5:00pm (1st/2nd)","Future","03:45pm","Th","6            of 16","5y 0m - 14y 0m","U-8","0","Thu 09/05/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6705","[FFB] Tuesday 3:45pm - 5:00pm (3rd/4th)","Future","03:45pm","T","15            of 16","5y 0m - 14y 0m","U-10","1","Tue 09/03/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6706","[FFB] Wednesday 3:45pm-5:00pm (5th/6th)","Future","03:45pm","W","4            of 16","5y 0m - 14y 0m","U-12","0","Wed 09/04/2024","24-FA Flag Football (PreK-5th)","Flag Football Class (K - 6th)","Fall"
"6556","[Hoop Academy] Sat 12:30pm-2:00pm (Ages 8-10)","Future","12:30pm","Sa","19            of 40","7y 0m - 15y 0m","U-9","0","Sat 09/07/2024","24-FA Hoop Academy (Boys K-8th)","Hoop Academy (Boys 3rd-8th)","Fall"
"6557","[Hoop Academy] Sat 2:00pm-3:30pm (Ages 11-13)","Future","02:00pm","Sa","16            of 40","7y 0m - 15y 0m","U-14","0","Sat 09/07/2024","24-FA Hoop Academy (Boys K-8th)","Hoop Academy (Boys 3rd-8th)","Fall"
"6558","[Jr Hoop Academy] Sat 10:00am-11:05am (Ages 6 & 7)","Over Future","10:00am","Sa","23            of 22","5y 0m - 8y 0m","U-8","13","Sat 09/07/2024","24-FA Hoop Academy (Boys K-8th)","Jr Hoop Academy (Boys K-2nd)","Fall"
"6559","[Jr Hoop Academy] Sat 10:10am-11:10am (Ages 5 & 6)","Future","10:00am","Sa","14            of 20","5y 0m - 8y 0m","U-15","0","Sat 09/07/2024","24-FA Hoop Academy (Boys K-8th)","Jr Hoop Academy (Boys K-2nd)","Fall"
"6739","(ETA & PLAY) Sunday 11:00am-12:30pm | Ages 14+","Future","11:00am","S","3            of 15","8y 0m - 18y 0m","U-17","0","Sun 09/08/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - PS 183","Fall"
"6738","(ETA & PLAY) Sunday 9:30am-11:00am | Ages 11-13","Future","09:30am","S","5            of 15","8y 0m - 18y 0m","U-13","0","Sun 09/08/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - PS 183","Fall"
"6732","(ETA) Tuesday 6:00pm-7:00pm | Ages 9-11","Future","06:00pm","T","12            of 15","8y 0m - 16y 0m","U-9","0","Tue 09/10/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - WINDWARD                           | Player","Fall"
"6733","(ETA) Tuesday 7:00pm-8:00pm | Ages 11-13","Future","07:00pm","T","5            of 15","8y 0m - 16y 0m","U-13","0","Tue 09/10/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - WINDWARD                           | Player","Fall"
"6734","(ETA) Tuesday 8:00pm-9:00pm | Ages 13-17","Future","08:00pm","T","0            of 15","8y 0m - 16y 0m","U-17","0","Tue 09/10/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - WINDWARD                           | Player","Fall"
"6735","(ETA) Wednesday 6:00pm-7:00pm | Ages 9-11","Future","06:00pm","W","8            of 15","8y 0m - 16y 0m","U-11","0","Wed 09/11/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - WINDWARD                           | Player","Fall"
"6736","(ETA) Wednesday 7:00pm-8:00pm | Ages 11-13","Future","07:00pm","W","3            of 15","8y 0m - 16y 0m","U-13","0","Wed 09/11/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - WINDWARD                           | Player","Fall"
"6737","(ETA) Wednesday 8:00pm-9:00pm | Ages 13-17","Future","08:00pm","W","0            of 15","8y 0m - 16y 0m","U-17","0","Wed 09/11/2024","24-FA Elite Basketball Training Academy (3rd-11th)","UES - WINDWARD                           | Player","Fall"
"6727","[Hustle-AS] Mon 6:00pm - 7:00pm (3rd-5th)","Future","06:00pm","M","3            of 18","7y 0m - 16y 0m","U-11","0","Mon 09/09/2024","24-FA Hustle Basketball Classes (K-8th)","UES - ALLEN STEVENSON                           | Player","Fall"
"6728","[Hustle-AS] Mon 7:00pm - 8:00pm (6th-8th)","Future","07:00pm","M","2            of 18","7y 0m - 16y 0m","U-14","0","Mon 09/09/2024","24-FA Hustle Basketball Classes (K-8th)","UES - ALLEN STEVENSON                           | Player","Fall"
"6613","[Hustle-AS] Thurs 6:00pm-7:00pm (3rd-5th)","Future","06:00pm","Th","12            of 18","7y 0m - 16y 0m","U-11","0","Thu 09/12/2024","24-FA Hustle Basketball Classes (K-8th)","UES - ALLEN STEVENSON                           | Player","Fall"
"6614","[Hustle-AS] Thurs 7:00pm-8:00pm (6th-8th)","Future","07:00pm","Th","7            of 18","7y 0m - 16y 0m","U-14","0","Thu 09/12/2024","24-FA Hustle Basketball Classes (K-8th)","UES - ALLEN STEVENSON                           | Player","Fall"
"6615","[Hustle-AS] Tues 6:00pm - 7:00pm (3rd-5th)","Future","06:00pm","T","6            of 18","7y 0m - 16y 0m","U-11","0","Tue 09/10/2024","24-FA Hustle Basketball Classes (K-8th)","UES - ALLEN STEVENSON                           | Player","Fall"
"6616","[Hustle-AS] Tues 7:00pm - 8:00pm (6th-8th)","Future","07:00pm","T","6            of 18","7y 0m - 16y 0m","U-14","0","Tue 09/10/2024","24-FA Hustle Basketball Classes (K-8th)","UES - ALLEN STEVENSON                           | Player","Fall"
"6617","[Hustle-FB] Fri 3:50pm-4:50pm (1st-3rd)","Future","03:50pm","F","11            of 20","7y 0m - 16y 0m","U-9","0","Fri 09/06/2024","24-FA Hustle Basketball Classes (K-8th)","UES - FB HQ                           | Player","Fall"
"6776","[Priv. Lady Irish-FB] Fri 6:00-7:15 pm (6th)","Future","06:00pm","F","11            of ∞","7y 0m - 16y 0m","U-14","0","Fri 09/06/2024","24-FA Hustle Basketball Classes (K-8th)","UES - FB HQ                           | Player","Fall"
"6740","[RAMAZ 5th/6th] Basketball Fridays 1:30PM-2:30PM","Future","01:30pm","F","6            of 30","10y 0m - 15y 0m","U-12","0","Fri 09/13/2024","2024/2025 Ramaz Club - After School Sports","Fall Basketball","Fall/Winter"
"6742","[RAMAZ 5th/6th] Basketball Fridays 1:30PM-2:30PM","Future","04:00pm","F","0            of 30","10y 0m - 15y 0m","U-12","0","Fri 01/10/2025","2024/2025 Ramaz Club - After School Sports","Winter Basketball","Fall/Winter"
"6741","[RAMAZ 7th/8th] Basketball Fridays 2:35PM-3:35PM","Future","02:35pm","F","0            of 30","10y 0m - 15y 0m","U-14","0","Fri 09/13/2024","2024/2025 Ramaz Club - After School Sports","Fall Basketball","Fall/Winter"
"6743","[RAMAZ 7th/8th] Basketball Fridays 2:35PM-3:35PM","Future","02:45pm","F","0            of 30","10y 0m - 15y 0m","U-14","0","Fri 01/10/2025","2024/2025 Ramaz Club - After School Sports","Winter Basketball","Fall/Winter"
