"DirectedEdge[{5554649367375, 3, 1}, {5586030426984, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554521823722, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554649369562, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554650966072, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554651022934, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554651081983, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554652558208, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554655746854, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554660529823, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5554780104048, 3, 1}]"
"DirectedEdge[{5554650963885, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554521825909, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554649371749, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554650963885, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554651025121, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554651084170, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554652560395, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554655749041, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554660532010, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5554780106235, 3, 1}]"
"DirectedEdge[{5554650966072, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554521880584, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554649426424, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554651022934, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554651025121, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554651079796, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554652615070, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554655803716, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554660586685, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5554780160910, 3, 1}]"
"DirectedEdge[{5554651020747, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554521939633, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554649485473, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554651020747, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554651081983, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554651084170, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554652674119, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554655862765, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554660645734, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5554780219959, 3, 1}]"
"DirectedEdge[{5554651079796, 3, 1}, {5586032139405, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554523415858, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554649367375, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554652558208, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554652560395, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554652615070, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554652674119, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554657338990, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554662121959, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5554781696184, 3, 1}]"
"DirectedEdge[{5554652556021, 3, 1}, {5586033615630, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554526604504, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554654150344, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554655746854, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554655749041, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554655803716, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554655862765, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554657338990, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554660527636, 3, 1}]"
"DirectedEdge[{5554655744667, 3, 1}, {5554784884830, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554531387473, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554655744667, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554658933313, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554660529823, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554660532010, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554660586685, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554660645734, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554662121959, 3, 1}]"
"DirectedEdge[{5554660527636, 3, 1}, {5554789667799, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554521821535, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554778507538, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554780104048, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554780106235, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554780160910, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554780219959, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554781696184, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554784884830, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5554789667799, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {5586161161470, 3, 1}]"
"DirectedEdge[{5554780101861, 3, 1}, {7249357320747, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5554520227212, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5585901289008, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5585901291195, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5585901345870, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5585901404919, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5585904475467, 3, 1}]"
"DirectedEdge[{5585901286821, 3, 1}, {5586030426984, 3, 1}]"
